"","TS","Job_ID","Duration"
"56","1575663126"," 8691575666725-9401615,","154.91"
"57","1575663126"," 19161575666725-3640769,","218.51"
"58","1575663128"," 18781575666726-519128,","179.54"
"59","1575663128"," 11891575666726-7835648,","165.14"
"60","1575663129"," 15071575666727-02853,","147.67"
"61","1575663130"," 14201575666729-3395243,","176.65"
"62","1575663132"," 11621575666730-555395,","170.77"
"63","1575663133"," 11431575666732-131498,","153.68"
"64","1575663134"," 8701575666733-5437663,","159.97"
"65","1575663134"," 8161575666733-6862893,","162.14"
"66","1575663135"," 11471575666733-8566935,","150.36"
"67","1575663135"," 11351575666734-0243227,","184.97"
"68","1575663136"," 6601575666735-5027435,","154.2"
"69","1575663137"," 4921575666736-3234174,","199.15"
"70","1575663137"," 8881575666736-3703518,","163.62"
"71","1575663138"," 14941575666736-7802885,","152.53"
"72","1575663138"," 11031575666737-0496469,","158.97"
"73","1575663139"," 3041575666738-1287963,","156.11"
"74","1575663139"," 19641575666737-8492484,","146.29"
"75","1575663140"," 3101575666739-6681902,","172.44"
"76","1575663141"," 15151575666739-3888419,","161.69"
"77","1575663141"," 13521575666739-4508114,","177.23"
"78","1575663141"," 10341575666739-506359,","154.98"
"79","1575663143"," 18791575666742-132388,","141.96"
"80","1575663144"," 1561575666743-131952,","178.48"
"81","1575663144"," 7391575666743-1957922,","166.47"
"82","1575663145"," 4881575666743-9727445,","167.29"
"83","1575663146"," 16011575666744-511609,","160.88"
"84","1575663146"," 17881575666744-8131502,","173.32"
"85","1575663147"," 16231575666744-9564269,","159.64"
"86","1575663147"," 4541575666745-957176,","163.67"
"87","1575663148"," 18181575666746-1639934,","158.28"
"88","1575663148"," 12351575666746-0451157,","152.53"
"89","1575663148"," 16521575666745-7682106,","176.82"
"90","1575663150"," 15031575666747-6158228,","174.33"
"91","1575663150"," 18661575666747-6087928,","172.76"
"92","1575663151"," 2281575666749-478114,","165.49"
"93","1575663151"," 1261575666749-6935952,","161.66"
"94","1575663152"," 15301575666750-419918,","156.32"
"95","1575663152"," 19841575666750-4876,","155.65"
"96","1575663153"," 81575666751-0310843,","163.88"
"97","1575663153"," 4111575666751-5765219,","141.85"
"98","1575663154"," 7571575666753-0579517,","169.01"
"99","1575663158"," 8441575666757-074948,","160.88"
"100","1575663158"," 12171575666757-0736632,","146.86"
"101","1575663159"," 16681575666757-6533692,","146.71"
"102","1575663161"," 17441575666760-440003,","171.11"
