"","TS","Duration"
"364",1574757435,861.000666666667
"365",1574757436,911.961764705882
"366",1574757437,839.035454545455
"367",1574757438,1383.2825
"368",1574757439,818.798888888889
"369",1574757440,774.1
"370",1574757441,1447.45266666667
"371",1574757442,832.882727272727
"372",1574757443,2411.31833333333
"373",1574757444,851.147058823529
"374",1574757445,2503.87875
"375",1574757446,1255.77
"376",1574757447,823.881428571429
"377",1574757448,933.657727272727
"378",1574757449,3260.27625
"379",1574757450,837.552142857143
"380",1574757451,1254.8535
"381",1574757452,1458.02666666667
"382",1574757453,818.655789473684
"383",1574757454,2237.15142857143
"384",1574757455,1132.08785714286
"385",1574757456,805.491578947368
"386",1574757457,863.172222222222
"387",1574757458,795.401333333333
"388",1574757459,1303.30642857143
"389",1574757460,1299.88157894737
"390",1574757461,1431.485
"391",1574757462,1336.08666666667
"392",1574757463,4601.635
"393",1574757464,9427.08
"394",1574757465,800.600909090909
"395",1574757466,808.272142857143
"396",1574757467,885.01175
"397",1574757468,788.926923076923
"398",1574757469,921.341111111111
"399",1574757470,857.952352941177
"400",1574757471,1538.20538461538
"401",1574757472,904.334
"402",1574757473,947.470625
"403",1574757474,1392.855
"404",1574757475,787.211538461538
"405",1574757476,862.564615384615
"406",1574757477,880.507333333333
"407",1574757478,809.920625
"408",1574757479,1503.01583333333
"409",1574757480,835.698181818182
"410",1574757481,910.8725
"411",1574757482,892.779333333333
"412",1574757483,1521.995
"413",1574757484,782.146428571429
"414",1574757485,923.721111111111
"415",1574757486,852.756428571429
"416",1574757487,823.862777777778
"417",1574757488,947.907272727273
"418",1574757489,1002.39142857143
"419",1574757490,3825.2125
"420",1574757491,1112.85844827586
"421",1574757492,1354.93404761905
"422",1574757493,1250.62611111111
"423",1574757495,2088.00285714286
"424",1574757496,1242.1175
"425",1574757497,912.572
"426",1574757498,987.772
"427",1574757499,2087.50230769231
"428",1574757500,804.3275
"429",1574757501,1229.289
"430",1574757502,812.062222222222
"431",1574757503,1013.93416666667
"432",1574757504,813.53
"433",1574757505,2954.7075
"434",1574757506,2246.16857142857
"435",1574757507,1273.43
"436",1574757508,2788.082
"437",1574757509,1243.45
"438",1574757510,4483.32333333333
"439",1574757511,3286.23
"440",1574757512,1259.4
"441",1574757514,7558.44333333333
"442",1574757515,1821.81
"443",1574757516,1535.76
"444",1574757517,1270.46
"445",1574757518,771.301818181818
"446",1574757519,824.776666666667
"447",1574757520,885.951846153846
"448",1574757521,885.2076
"449",1574757522,965.268
"450",1574757523,906.52
"451",1574757524,1558.44571428571
"452",1574757525,971.953157894737
"453",1574757526,788.960769230769
"454",1574757527,1084.15913043478
"455",1574757528,3401.96444444444
"456",1574757529,2147.36545454545
"457",1574757530,1713.21047619048
"458",1574757531,2559.278
"459",1574757532,838.314615384615
"460",1574757533,1150.04
"461",1574757534,11487.33
"462",1574757535,4214.476
"463",1574757536,1343.658
"464",1574757537,1150.61
"465",1574757538,861.199423076923
"466",1574757539,1462.17235294118
"467",1574757540,904.441333333333
"468",1574757541,856.406842105263
"469",1574757542,841.910769230769
"470",1574757543,849.254
"471",1574757544,901.587333333333
"472",1574757545,930.739166666667
"473",1574757546,2346.332
"474",1574757547,2477.56666666667
"475",1574757548,842.968235294118
"476",1574757549,1273.55857142857
"477",1574757550,901.8925
"478",1574757551,760.8321875
"479",1574757552,801.251764705882
"480",1574757553,986.7575
"481",1574757554,1467.19235294118
"482",1574757555,890.035263157895
"483",1574757556,1479.311
"484",1574757557,1340.08263157895
"485",1574757558,1260.60764705882
"486",1574757559,1598.34076923077
"487",1574757560,937.846666666667
"488",1574757561,747.801428571429
"489",1574757562,787.815625
"490",1574757563,875.124
"491",1574757564,864.213333333333
"492",1574757565,1647.74083333333
"493",1574757566,1644.23538461538
"494",1574757567,759.997647058824
"495",1574757568,807.6
"496",1574757569,731.16
"497",1574757570,806.652586206897
"498",1574757571,857.6965
"499",1574757572,1211.03761904762
"500",1574757573,865.51
"501",1574757574,917.735555555556
"502",1574757575,1621.198125
"503",1574757576,814.846111111111
"504",1574757577,825.305
"505",1574757578,1629.1
"506",1574757579,1475.57142857143
"507",1574757580,1195.39285714286
"508",1574757581,786.068461538462
"509",1574757582,977.857142857143
"510",1574757583,1329.79052631579
"511",1574757584,1444.33733333333
"512",1574757585,1443.03142857143
"513",1574757586,772.843571428571
"514",1574757587,765.011818181818
"515",1574757588,1382.794
"516",1574757589,838.587333333333
"517",1574757590,761.709
"518",1574757591,872.447333333333
"519",1574757592,1654.47769230769
"520",1574757593,876.706923076923
"521",1574757594,1344.52611111111
"522",1574757595,847.421818181818
"523",1574757596,1287.02
"524",1574757597,854.46
"525",1574757598,948.0896
"526",1574757599,965.426666666667
"527",1574757600,870.751538461538
"528",1574757601,1346.778
"529",1574757602,1574.648125
"530",1574757603,917.978148148148
"531",1574757604,872.466
"532",1574757605,839.688571428571
"533",1574757606,865.85
"534",1574757607,905.2444
"535",1574757608,878.801
"536",1574757609,759.881111111111
"537",1574757610,1412.566
"538",1574757611,1424.13263157895
"539",1574757612,873.35625
"540",1574757614,3880.07
"541",1574757615,7136.42
"542",1574757616,5907
"543",1574757617,985.157426470588
"544",1574757618,1748.96194444444
"545",1574757619,834.238461538461
"546",1574757620,868.862352941176
"547",1574757621,933.165294117647
"548",1574757622,1673.8
"549",1574757623,892.076666666667
"550",1574757624,868.904166666667
"551",1574757625,1606.64
"552",1574757626,1414.92117647059
"553",1574757627,2302.246875
"554",1574757628,1337.17181818182
"555",1574757629,917.042142857143
"556",1574757630,889.725833333333
"557",1574757631,1121.05
"558",1574757632,866.137619047619
"559",1574757633,933.9725
"560",1574757634,1630.19266666667
"561",1574757635,861.108
"562",1574757636,834.884444444444
"563",1574757637,920.096842105263
"564",1574757638,1021.81916666667
"565",1574757639,980.474545454545
"566",1574757640,1369.52
"567",1574757641,817.754615384615
"568",1574757642,995.8271875
"569",1574757643,913.139
"570",1574757644,1267.92
"571",1574757645,2166.16333333333
"572",1574757646,811.948636363636
"573",1574757647,1290.98368421053
"574",1574757648,946.15
"575",1574757649,762.436363636364
"576",1574757650,807.315263157895
"577",1574757651,3150.5475
"578",1574757652,824.820833333333
"579",1574757653,1181.78407407407
"580",1574757654,2568.47272727273
"581",1574757655,879.08
"582",1574757656,2915.75363636364
"583",1574757657,797.883333333333
"584",1574757658,1937.762
"585",1574757660,1367.99
"586",1574757661,1114.74
"587",1574757662,3168.994
"588",1574757663,6298.11
"589",1574757664,2091.57
"590",1574757665,8447.83
"591",1574757667,1015.255
"592",1574757668,739.58
"593",1574757669,845.658125
"594",1574757670,732.91
"595",1574757671,917.076666666667
"596",1574757672,2080.51
"597",1574757673,885.435
"598",1574757674,751.286666666667
"599",1574757675,1459.53230769231
"600",1574757676,1158.06944444444
"601",1574757677,846.379932432432
"602",1574757678,1124.47857954545
"603",1574757679,992.851279069767
