"","TS","Job_ID","Duration"
"82","1574086611"," 31574090210-6650167,","748.69"
"83","1574086617"," 291574090216-561964,","767.69"
"84","1574086620"," 821574090219-4844024,","765.24"
"85","1574086623"," 591574090222-5114224,","706.2"
"86","1574086625"," 441574090224-5807106,","740.27"
"87","1574086628"," 11574090227-3457654,","1283.68"
"88","1574086628"," 1001574090228-1784267,","725.03"
"89","1574086629"," 171574090228-2542553,","791.61"
"90","1574086629"," 791574090228-2726984,","805.17"
"91","1574086635"," 41574090232-8516698,","765.61"
"92","1574086635"," 471574090232-8414414,","725.4"
"93","1574086638"," 241574090237-287452,","749.72"
"94","1574086638"," 421574090237-7223895,","811.57"
"95","1574086638"," 971574090237-7329385,","807.49"
"96","1574086640"," 451574090239-6094718,","757.82"
"97","1574086642"," 751574090241-2476797,","735.73"
"98","1574086642"," 181574090242-1326933,","742.22"
"99","1574086643"," 221574090242-6079473,","826.74"
"100","1574086643"," 931574090242-8972445,","752.42"
"101","1574086647"," 301574090246-6223001,","720.97"
"102","1574086647"," 941574090246-350099,","1363.28"
"103","1574086647"," 621574090246-9153183,","722.53"
"104","1574086648"," 231574090247-050406,","1290.01"
"105","1574086648"," 881574090247-786857,","739.36"
"106","1574086657"," 681574090256-6384263,","789.23"
"107","1574086663"," 951574090261-9019904,","1393.05"
"108","1574086665"," 671574090264-497781,","799.67"
"109","1574086665"," 231574090264-5321445,","799.42"
"110","1574086665"," 351574090264-5360625,","1374.55"
"111","1574086665"," 511574090264-5202074,","855.73"
"112","1574086665"," 141574090264-2945406,","1285.3"
"113","1574086669"," 551574090264-3928897,","1810.73"
"114","1574086665"," 51574090264-5202074,","724.05"
"115","1574086665"," 911574090264-524147,","1314.85"
"116","1574086666"," 501574090265-207973,","739.08"
"117","1574086666"," 901574090265-5799532,","740.52"
"118","1574086666"," 831574090266-2679434,","699.33"
"119","1574086667"," 531574090266-9521658,","750.64"
"120","1574086667"," 171574090266-430767,","1743.49"
"121","1574086668"," 721574090267-7874637,","733.51"
"122","1574086669"," 201574090268-4324746,","754.61"
"123","1574086672"," 891574090271-472156,","717.11"
"124","1574086672"," 271574090271-460195,","718.92"
"125","1574086673"," 761574090272-6654935,","727.75"
"126","1574086673"," 571574090272-6761765,","736.66"
"127","1574086675"," 461574090273-6144798,","1501.76"
"128","1574086676"," 551574090275-692163,","749.42"
"129","1574086677"," 151574090276-4210827,","1255.64"
"130","1574086678"," 661574090277-5799654,","737.4"
"131","1574086680"," 941574090279-712717,","789.46"
"132","1574086681"," 211574090280-556148,","793.37"
"133","1574086681"," 431574090280-5401883,","1243.97"
"134","1574086681"," 401574090281-012167,","740.34"
"135","1574086682"," 961574090281-7160144,","718.76"
"136","1574086684"," 121574090283-5042205,","706.99"
"137","1574086685"," 71574090284-9601252,","719.83"
"138","1574086687"," 691574090286-8139217,","710.03"
"139","1574086688"," 641574090287-6999755,","722.73"
"140","1574086692"," 321574090291-7314925,","725.54"
"141","1574086692"," 601574090291-642213,","971.75"
"142","1574086698"," 161574090296-8721857,","778.8"
"143","1574086698"," 781574090296-3919816,","785.51"
"144","1574086698"," 281574090296-3961017,","773.33"
"145","1574086699"," 381574090297-968212,","961.77"
"146","1574086699"," 861574090298-1841567,","752.29"
"147","1574086699"," 261574090298-17195,","1282.27"
"148","1574086700"," 711574090298-6441894,","1021.42"
"149","1574086700"," 481574090299-6361933,","717.79"
"150","1574086702"," 811574090301-6978197,","702.89"
"151","1574086702"," 701574090301-8399673,","742.22"
"152","1574086704"," 541574090303-0799265,","1205.24"
"153","1574086704"," 921574090303-7490919,","759.32"
"154","1574086706"," 251574090305-9583852,","935.93"
"155","1574086709"," 771574090306-216201,","2302.23"
"156","1574086709"," 381574090308-386409,","1303.43"
"157","1574086709"," 361574090308-9082022,","765.95"
