"","TS","Job_ID","Duration"
"152","1575663332"," 17761575666925-6277425,","5014.64"
"153","1575663336"," 18051575666928-070536,","6795.78"
"154","1575663338"," 18321575666926-499747,","10555.98"
"155","1575663339"," 14571575666924-174634,","13189.1"
"156","1575663340"," 7831575666935-3818767,","3340.98"
"157","1575663340"," 13711575666929-4449239,","9201.66"
"158","1575663341"," 2831575666930-4938,","9724.2"
"159","1575663341"," 6951575666929-447363,","11105.8"
"160","1575663342"," 6301575666931-2228484,","4492.54"
"161","1575663343"," 18511575666931-7737145,","9174.08"
"162","1575663343"," 13601575666935-3183131,","6679.43"
"163","1575663349"," 9611575666938-9828997,","9384.7"
"164","1575663349"," 4911575666933-4981222,","12697.89"
"165","1575663353"," 8991575666938-5737708,","13483.43"
"166","1575663353"," 8921575666947-3819993,","5118.31"
"167","1575663353"," 15081575666945-675345,","6937.83"
"168","1575663357"," 16901575666953-4717834,","2732.35"
"169","1575663361"," 4491575666949-1819391,","10673.55"
"170","1575663362"," 5351575666953-8298845,","7350.38"
"171","1575663362"," 21575666953-8223011,","7185.38"
"172","1575663363"," 11371575666952-417185,","9512.84"
"173","1575663363"," 19711575666956-102285,","6069.32"
"174","1575663364"," 2471575666957-1857953,","5843.8"
"175","1575663365"," 13281575666957-3702857,","6289.03"
"176","1575663367"," 13681575666959-366515,","6787.7"
"177","1575663368"," 16591575666957-7742462,","8797.68"
"178","1575663373"," 12451575666961-324712,","9791.27"
"179","1575663373"," 15961575666961-3989613,","10528.78"
"180","1575663376"," 7521575666970-881756,","4489.51"
"181","1575663377"," 18081575666968-9704313,","5439.5"
"182","1575663380"," 13911575666969-7222266,","8364.76"
"183","1575663384"," 16131575666970-4825356,","12332.7"
"184","1575663384"," 18521575666973-0767577,","10127.69"
"185","1575663384"," 141575666974-8340013,","8642.42"
"186","1575663387"," 16561575666978-119804,","7177"
"187","1575663387"," 9941575666979-721991,","6181.86"
"188","1575663387"," 681575666979-6148908,","6786.94"
"189","1575663390"," 3181575666980-1980486,","8661.94"
"190","1575663391"," 10501575666980-6884646,","9366.91"
"191","1575663392"," 1551575666980-966134,","9761.84"
"192","1575663392"," 3751575666981-747642,","5582.55"
"193","1575663398"," 3681575666981-9312572,","8077.01"
"194","1575663398"," 5181575666988-4459705,","8705.9"
"195","1575663400"," 5691575666993-6619968,","5130.55"
"196","1575663402"," 12731575666991-3782344,","9433.79"
"197","1575663403"," 11981575666992-967902,","9239.55"
"198","1575663403"," 17361575666993-6863093,","8674.08"
"199","1575663404"," 31575666996-2901227,","7357.26"
"200","1575663405"," 18781575666993-2841868,","10659.95"
"201","1575663406"," 3121575666998-1741068,","7314.52"
"202","1575663407"," 9451575666997-3858316,","9285.84"
"203","1575663410"," 19901575666997-5185494,","11276.31"
"204","1575663410"," 16421575666999-707366,","8338.58"
"205","1575663411"," 3861575667005-2258124,","4782.74"
"206","1575663412"," 4151575667004-3763416,","6951.96"
"207","1575663413"," 3131575667004-5698268,","7244.19"
"208","1575663416"," 13381575667008-2818823,","6813.72"
"209","1575663423"," 2541575667011-3738103,","10340.52"
"210","1575663423"," 16771575667012-430562,","9227.48"
"211","1575663424"," 10991575667016-526322,","5775.89"
"212","1575663426"," 9381575667017-4544713,","7101.9"
"213","1575663427"," 16471575667014-0414917,","12288.54"
"214","1575663428"," 14241575667021-9407473,","5101.64"
"215","1575663430"," 5721575667019-0591917,","9760.48"
"216","1575663431"," 10141575667025-246137,","4580.13"
"217","1575663432"," 6121575667021-0698795,","10502.84"
"218","1575663433"," 2491575667025-4858315,","5577.65"
"219","1575663435"," 15241575667029-6704175,","3885.39"
"220","1575663435"," 13931575667029-6538904,","4225.79"
"221","1575663436"," 13161575667029-910342,","4453.25"
"222","1575663437"," 15841575667022-9105573,","12459.43"
"223","1575663437"," 7721575667032-009729,","4022.74"
"224","1575663443"," 10201575667038-7850778,","3030.36"
"225","1575663449"," 19311575667039-3114705,","8511.34"
"226","1575663449"," 13371575667037-0015607,","10824.71"
"227","1575663451"," 6291575667043-6060114,","6646.27"
"228","1575663451"," 19021575667040-5253804,","9761.11"
"229","1575663452"," 5901575667040-473975,","10996.69"
"230","1575663454"," 8521575667045-056039,","7946.22"
"231","1575663455"," 831575667044-5382638,","5769.97"
"232","1575663455"," 8821575667051-6100502,","2578.77"
"233","1575663456"," 11161575667043-8834534,","10632.66"
"234","1575663457"," 3941575667045-161795,","10525.14"
"235","1575663460"," 7581575667052-1085074,","6357.35"
"236","1575663460"," 5401575667050-0485744,","9027.13"
"237","1575663461"," 19381575667051-0086894,","9285.77"
"238","1575663464"," 991575667054-7858052,","7983.3"
"239","1575663466"," 19791575667053-9546628,","10569.12"
"240","1575663469"," 711575667060-3697655,","7487.72"
"241","1575663471"," 19411575667060-006729,","9401.87"
"242","1575663471"," 4231575667059-070034,","11060.41"
"243","1575663472"," 13331575667060-462447,","10433.77"
"244","1575663475"," 19061575667064-8823795,","7914.66"
"245","1575663475"," 13061575667066-5182211,","7567.01"
"246","1575663475"," 7071575667066-1697438,","8312.82"
"247","1575663479"," 11221575667072-7142208,","4966.96"
"248","1575663487"," 17641575667081-4244153,","3601.66"
"249","1575663488"," 11391575667083-0662835,","3647.13"
"250","1575663489"," 8881575667081-5338473,","6218.81"
"251","1575663490"," 8341575667078-4538302,","10720.09"
"252","1575663494"," 1911575667082-8818169,","10231.26"
"253","1575663496"," 171575667085-4458966,","9262.59"
"254","1575663496"," 8391575667088-5617461,","6718.5"
"255","1575663496"," 2871575667089-4459462,","5952.58"
"256","1575663496"," 921575667088-4417443,","6907.63"
"257","1575663505"," 9671575667092-2359269,","11368.06"
"258","1575663506"," 15081575667096-009746,","8762.04"
"259","1575663509"," 511575667098-0580018,","9434.99"
"260","1575663510"," 18261575667099-8804586,","8812.79"
"261","1575663512"," 8291575667103-093835,","8193.96"
"262","1575663513"," 20001575667101-6822884,","9746.79"
"263","1575663518"," 11841575667107-082966,","9736.1"
"264","1575663518"," 5971575667110-6699913,","6676.27"
"265","1575663526"," 8861575667119-3059242,","6323.95"
"266","1575663530"," 19851575667119-5016558,","9453.57"
"267","1575663539"," 15591575667131-4984522,","6925.51"
"268","1575663540"," 13021575667130-254243,","8939.44"
"269","1575663540"," 10101575667134-4758353,","5045.48"
"270","1575663541"," 11951575667129-0465467,","10546.52"
"271","1575663541"," 17431575667134-6247683,","5964.24"
"272","1575663542"," 351575667132-121551,","3300.13"
"273","1575663545"," 7541575667135-550022,","5743.2"
"274","1575663545"," 2661575667135-9810612,","8481.32"
"275","1575663548"," 4011575667135-115325,","9485.36"
"276","1575663549"," 11611575667135-945479,","12163.3"
"277","1575663552"," 1481575667141-0251448,","10389.78"
"278","1575663553"," 9761575667148-5258236,","3241.3"
"279","1575663556"," 8641575667147-6737645,","7237.76"
"280","1575663560"," 2261575667155-1739454,","3836.44"
"281","1575663561"," 7721575667148-2340279,","12202.22"
"282","1575663562"," 19691575667153-7038052,","7296.61"
"283","1575663563"," 8041575667155-4579694,","6854.55"
"284","1575663564"," 9901575667155-090003,","7841.82"
